nro	anio	mes	dia	Azul	BahiaBlanca	'Bella Vista'	'Buenos Aires'	'Caseros'	'Ceres'	'Concordia'	'Cordoba'	'Corrientes'	'Formosa'	'Gral Pico'	'Gualeguaychu'	'Junin'	'La Plata'	'Laboulaye'	'Marcos Juarez'	'Mar del Plata'	'Parana'	'Paso de los Libres'	'Pehuajo'	'Pergamino'	'Posadas'	'Reconquista'	'Rio Cuarto'	'Rosario'	'San Luis'	'Sauce Viejo'	'Santa Rosa'	'Tandil'	'Tres Arroyos'
68	1970	3	9	45	3.5	0	17.8	0	0	6	0	0	0	6.6	18.5	24.6	19.5	14	0.9	52.3	0	0	36.6	23.7	0.9	0	0	6.1	17	0	17.7	73	8.8
69	1970	3	10	0	0	1.5	0	0	9.5	2	0	3	8.4	0	0	0	0	0	0.6	8	0	0	0	0	2.6	0	5	0	0	0	0	0	0.2
70	1970	3	11	0	0	37.5	0	12.2	12.7	1.5	0	15.4	48	0	-999	0	0	0	0	0	0	0	0	0	56.2	22.2	0	0	0	0	0	0	1.4
71	1970	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	1970	3	13	0	-999	0	4	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0
73	1970	3	14	0	0	0	0	38.7	1.1	67.5	0.6	0.7	0	0	2.4	0	0	0	0	0	10	0	0	0	0.7	5	0.8	0.2	0	8.8	0.3	0	0
74	1970	3	15	0	23.2	8.7	13.5	15.6	4.6	6.4	8.9	21.5	80.9	26.7	18.8	36.6	10	70.3	71.2	0	24.4	0	13.1	20.7	59.6	13.4	35.3	78.8	22.9	28.4	13.3	0	38
75	1970	3	16	0	0	1.7	6.1	3.3	0.1	8	1.6	2.7	1.3	0.8	1.5	0	1	2.2	1.5	0	9.8	0	0	0.2	4.8	5.6	2.6	17	5.2	19.6	0	0	0
76	1970	3	17	0	0	0	0	0	0	0	0	0.2	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	1970	3	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	1970	3	19	0	0	0	0	0	0	0	0	0.3	0.1	0	0	0	0	0	0	0	0	0	0	0	-999	0	0	0	0	0	0	0	0
79	1970	3	20	0	0	0.4	0	3	0	27	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	15.8	0	0	0	0	0	0	0	0
80	1970	3	21	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.6	0	0	0	0	0	0	0	0	0	0	0	0	1.5
81	1970	3	22	5.8	0	0	13.5	0	0	86	0.2	0	0	0	56.6	27.8	0.6	23.9	34.6	14.6	178.6	0	1.6	44.5	0	0	3.2	46.3	0	36.6	2.7	32.3	1.9
82	1970	3	23	0	0	0	5.7	45	0.4	33	0.1	0.6	9.9	0	3.7	0	4.2	0	0.3	0	32.3	0	0	0.8	0	9.3	0	2.2	0	27	0	0	0
83	1970	3	24	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0
84	1970	3	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1.2
85	1970	3	26	14.5	2	0	0	0	0	0	0	0	0	0	0	17	0	26.2	0	3.1	0	0	21.3	9.8	0	0	5.4	0.1	0	0	0	2	0.8
86	1970	3	27	0	25.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.5
87	1970	3	28	16.6	0	0	22.7	7.8	25.3	16	3.6	0	0	0	16.8	0	13.4	0	0	9.4	0.2	0	0	12.5	0	0	0	21.6	0	0.4	0	10.8	0
88	1970	3	29	0	0	2.2	0	0.4	7.1	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0
